name,source,gender,wikidata,type
Cunzstrasse,wikidata,F,Q23930508,way
Hellerstrasse,wikidata,F,Q106698288,way
Imbodenstrasse,wikidata,F,Q1456130,way
Taeuberweg,wikidata,F,Q254395,way
Tetznerstrasse,wikidata,F,Q215660,way
Wiboradatreppe,wikidata,F,Q438362,way
Aeplistrasse,wikidata,M,Q695904,way
Dierauerstrasse,wikidata,M,Q125155,way
Dierauertreppe,wikidata,M,Q125155,way
Gottfried-Keller-Strasse,wikidata,M,Q122370,way
Paul-Brandt-Strasse,wikidata,M,Q99305167,way
Paul-Brandt-Weg,wikidata,M,Q99305167,way
