name,source,gender,wikidata,type
Helvetiastrasse,wikidata,,Q48616,way
Kugelgasse,wikidata,,Q12134,way
Taubenstrasse,wikidata,,Q10856,way
Zylistrasse,wikidata,,Q99364768,way
Achslenstrasse,,,,way
Achslenweg,,,,way
Ackerstrasse,,,,way
Adlerbergstrasse,,,,way
Adlergasse,,,,way
Aetschbergstrasse,,,,way
"Aeusserer Sonnenweg",,,,way
Ahornstrasse,,,,way
Alderbergtreppe,,,,way
Alleestrasse,,,,way
Alpsteinstrasse,,,,way
"Alte Bildstrasse",,,,way
"Alte Holzbrücke",,,,way
"Alte Konstanzerstrasse",,,,way
"Alte Thurgauer Strasse",,,,way
Altenwegenstrasse,,,,way
"Alter Heinrichsbadweg",,,,way
Altmannstrasse,,,,way
Altmannweg,,,,way
Altwinkelnstrasse,,,,way
Altwinkelnweg,,,,way
"Am Pärkli",,,,way
Amselweg,,,,way
Apfelbergweg,,,,way
"Appenzeller Strasse",,,,way
"Auf dem Damm",,,,way
Augustinergasse,,,,way
"Äussere Schellenstrasse",,,,way
"Äusseres Hofgässlein",,,,way
Austrasse,,,,way
Auwaldweg,,,,way
Auweg,,,,way
Axensteinstrasse,,,,way
Bachstrasse,,,,way
Bachweidstrasse,,,,way
Bachweidweg,,,,way
Badstrasse,,,,way
Bahnhofplatz,,,,way
Bahnhofstrasse,,,,way
Bankgasse,,,,way
Bärenplatz,,,,way
Bärenweg,,,,way
Bauhofstrasse,,,,way
Baumgartenstrasse,,,,way
Bergbachweg,,,,way
Berghaldenstrasse,,,,way
Bergstrasse,,,,way
Bergtreppe,,,,way
Berneggstollen,,,,way
Berneggstrasse,,,,way
Berneggtreppe,,,,way
Bernhardsweg,,,,way
Bernhardswiesstrasse,,,,way
Bernhardswiesweg,,,,way
Bienengässlein,,,,way
Bildstrasse,,,,way
Bildweiherstrasse,,,,way
Bildweiherweg,,,,way
Billenbergstrasse,,,,way
Billenbergweg,,,,way
Birkenweg,,,,way
Birnbäumenstrasse,,,,way
Birnbäumentreppe,,,,way
Birnbäumenweg,,,,way
Birtweg,,,,way
Biserhofstrasse,,,,way
Bitzistrasse,,,,way
Bleicheliweg,,,,way
Bleichestrasse,,,,way
Blumenaustrasse,,,,way
Blumenbergplatz,,,,way
Blumenstrasse,,,,way
Blumenwiesweg,,,,way
Bodanstrasse,,,,way
Bogenstrasse,,,,way
Bohl,,,,way
Brandstrasse,,,,way
Brandtobelstrasse,,,,way
Brauersteig,,,,way
